Datetime,Serving_Cell_Id, Call_Id, plmnIdReserved,plmnId,mmeGroupId,mmeCode,mtmsi,mmeUeS1apId,enodebUeSiapId
2025-02-27 05:36:29.075,6436097,15941519,0,[B@5ed190be,32769,40,3907162572,559943462,942070,
2025-02-27 05:36:29.295,6436097,15887013,0,[B@402f80f5,32769,24,4033812434,241174812,1388078,
2025-02-27 05:36:29.335,6436238,15941520,0,[B@5bbc9f97,32769,8,3355939431,163669396,672588,
2025-02-27 05:36:29.375,6436098,15797242,0,[B@133e019b,32769,16,3742973454,125891141,6224,
2025-02-27 05:36:29.205,6436097,16291571,0,[B@41382722,32769,40,3686994722,559947500,2189818,
2025-02-27 05:36:29.385,6436098,16169107,0,[B@7dac3fd8,32769,16,3843812442,125856170,2979040,
2025-02-27 05:36:29.415,6436097,16291572,0,[B@425357dd,32769,56,4206465045,541071769,2221135,
2025-02-27 05:36:29.415,6436098,15887014,0,[B@2102a4d5,32769,40,3940822062,139462025,1394464,
2025-02-27 05:36:29.415,6436098,15941521,0,[B@210386e0,32769,56,3752201888,547363042,702104,
2025-02-27 05:36:29.417,6436226,829019829,0,[B@3d4d3fe7,32769,8,4195898730,595607481,1442301,
2025-02-27 05:36:30.065,6436238,15887015,0,[B@65f87a2c,32769,24,3960890251,294125591,1502127,
2025-02-27 05:36:30.415,6436098,15887016,0,[B@51684e4a,32769,8,3389341402,163644974,1515622,
2025-02-27 05:36:30.475,6436097,15941522,0,[B@6ce1f601,32769,40,3552184222,562566611,719057,
2025-02-27 05:36:30.485,6436097,16291573,0,[B@38875e7d,32769,16,4127696355,125898413,2255502,
2025-02-27 05:36:30.515,6436238,15941523,0,[B@1e886a5b,32769,16,4095060170,125846690,772138,
2025-02-27 05:36:30.635,6436097,15797243,0,[B@d816dde,32769,16,3341485463,125863535,82079,
2025-02-27 05:36:31.015,6436098,15887017,0,[B@6e33c391,32769,40,4053909664,907024700,1529825,
2025-02-27 05:36:30.905,6436097,16169108,0,[B@6c451c9c,32769,8,3557013973,163655279,3009285,
2025-02-27 05:36:31.315,6436096,15887018,0,[B@31c269fd,32769,8,3408568813,163597457,1592371,
2025-02-27 05:36:31.455,6436238,15887019,0,[B@372b0d86,32769,40,4243585110,277349189,1651980,
